idx,kind,stage,block,role,params,shape,apb,name
51,LayerNorm,2,3,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.3.norm2
52,Linear,2,3,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.3.mlp.fc1
53,Linear,2,3,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.3.mlp.fc2
54,LayerNorm,2,4,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.4.norm1
55,Linear,2,4,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.4.attn.qkv
56,Linear,2,4,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.4.attn.proj
57,LayerNorm,2,4,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.4.norm2
58,Linear,2,4,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.4.mlp.fc1
59,Linear,2,4,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.4.mlp.fc2
60,LayerNorm,2,5,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.5.norm1
61,Linear,2,5,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.5.attn.qkv
62,Linear,2,5,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.5.attn.proj
63,LayerNorm,2,5,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.5.norm2
64,Linear,2,5,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.5.mlp.fc1
65,Linear,2,5,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.5.mlp.fc2
66,LayerNorm,2,6,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.6.norm1
67,Linear,2,6,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.6.attn.qkv
68,Linear,2,6,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.6.attn.proj
69,LayerNorm,2,6,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.6.norm2
70,Linear,2,6,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.6.mlp.fc1
71,Linear,2,6,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.6.mlp.fc2
72,LayerNorm,2,7,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.7.norm1
73,Linear,2,7,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.7.attn.qkv
74,Linear,2,7,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.7.attn.proj
75,LayerNorm,2,7,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.7.norm2
76,Linear,2,7,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.7.mlp.fc1
77,Linear,2,7,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.7.mlp.fc2
78,LayerNorm,2,8,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.8.norm1
79,Linear,2,8,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.8.attn.qkv
80,Linear,2,8,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.8.attn.proj
81,LayerNorm,2,8,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.8.norm2
82,Linear,2,8,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.8.mlp.fc1
83,Linear,2,8,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.8.mlp.fc2
